类别,位号,器件名称,型号/规格,封装,数量,立创商城编号(参考),备注
主控,U1,ESP32-S3模组,ESP32-S3-WROOM-1 N8R8,模组,1,C2896541,核心主控
存储,-,-,-,-,0,,"8MB Flash+8MB PSRAM,已含于模组"
音频,U2,数字麦克风,INMP441,LGA-5,1,C24112,MEMS I2S麦克风
音频,U3,D类功放,MAX98357AETL+T,QFN-16,1,C2834888,I2S数字输入
音频,LS1,扬声器,8Ω 3W 40mm,φ40,1,C2990735,发声
显示,U4,圆形LCD,GC9A01 1.28寸 240x240,SPI,1,C2975552,表情屏
传感,U5,温湿度传感器,SHT40-AD1B-R2,DFN-4,1,C5313433,I2C接口
电源,U6,锂电池充电,TP4057,ESOP-8,1,C20593,500mA线性充电
电源,U7,LDO稳压,ME6211C33M5G,SOT-23-5,1,C82902,3.3V/500mA
电源,BT1,锂电池,3.7V 800-1200mAh 锂聚合物,导线,1,C2869766,软包电池
电源,USB1,Type-C母座,USB-C 16P 2A,USB-C,1,C2765186,充电/烧录
阻容,C1-C20,MLCC电容,0.1uF 50V 0603,0603,20,C14663,退耦
阻容,C21,钽电容,10uF 16V 0805,0805,2,C14673,电源滤波
阻容,R1-R6,贴片电阻,10K 1% 0603,0603,6,C25744,上下拉/分压
阻容,R7,贴片电阻,4.7K 0603,0603,2,C25804,I2C上拉
连接器,J1,电池座,PH2.0 2P,2.54,1,C94556,电池接口
连接器,J2,喇叭座,PH2.0 2P,2.54,1,C94557,喇叭接口
开关,S1,轻触按键,6x6x5mm,插件,1,C92514,复位/自定义
LED,D1,贴片LED,蓝色 0603,0603,1,C2286,状态指示
